طبقه,زیربنا,خواب,تلفن,آشپزخانه,سرویس,کفپوش,OPEN,پارکینگ,انباری,بالکن,غربی,شرقی,شمالی,جنوبی,code
3,70,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,10335838
2,75,2,0,MDF,ايراني فرنگي,پارکت,1,0,1,1,0,0,0,1,10416222
5,87,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,0,0,0,1,0,10335684
4,50,1,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,0,10298355
4,62,2,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,1,0,10148339
3,94,2,1,MDF,ايراني فرنگي,لامنيت,1,0,1,1,0,0,1,1,10405313
4,65,1,1,MDF,ايرانی,سنگ,1,0,1,0,0,0,0,1,10405314
4,45,1,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,10335728
4,65,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,1,0,10335731
2,78,2,1,MDF,ايراني فرنگي,سراميک,1,0,0,1,0,0,1,0,10405320
همكف,65,2,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,0,0,10335602
3,42,1,1,MDF,ايرانی,سنگ,1,0,1,0,0,0,0,0,10335628
2,202,3,1,فول فرنيش,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,3965082
4,40,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,1,0,0,10301116
2,73,2,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,0,1,10405324
3,80,2,0,دلخواه,ايراني فرنگي,سنگ,0,0,0,1,0,0,1,0,10405325
4,65,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10405326
3,59,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,1,0,10405328
1,123,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,3828597
3,51,1,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,1,1,10405329
1,45,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,1,1,10405331
1,135,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10125573
1,55,1,1,MDF,ايراني فرنگي,لامنيت,1,0,1,0,0,0,1,0,10202835
3,76,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,10405333
