Unnamed: 0,کد ملک,تاریخ,آدرس,زیربنا,طبقه,سن بنا,قیمت واحد,قیمت کل
,10268274,1403/05/24,مجیدیه جنوبی خ حاجی پور,85,3,2,123520000,10500000000
,10299240,1403/05/24,هروی ساقدوش,175,4,16,140000000,24500000000
,10275460,1403/05/24,پاسداران شمالی خ رضائی,116,2,9,181034000,21000000000
,10270867,1403/05/24,دیباجی جنوبی نرسیده به خ گركانی,157,1,11,152866000,24000000000
,10251792,1403/05/24,هروی حسین آباد,180,3,0,125000000,22500000000
,10415956,1403/05/24,دروس خ یارمحمدی,176,1,22,160000000,28160000000
,10265828,1403/05/24,دیباجی جنوبی خ گركانی,155,4,0,220000000,34100000000
,10150984,1403/05/24,هروی خ افتخاریان,135,5,0,151851000,20500000000
,10132785,1403/05/24,هروی حسین آباد,165,2,19,120000000,19800000000
,3945121,1403/05/24,دولت نرسیده به خ سنجابی,158,4,20,101265000,16000000000
,10052826,1403/05/24,پاسداران خ سروستان,110,5,15,133636000,14700000000
,10346352,1403/05/24,ملاصدرا خ پردیس,80,2,18,175000000,14000000000
,3884568,1403/05/24,ظفر زرگنده خ شكرآبی,211,3,30,270000000,32400000000
,10415952,1403/05/24,ونك خدامی,150,5,30,123333000,18500000000
,10348065,1403/05/24,سئول كوچه هفتم,150,5,1,200000000,30000000000
,10322293,1403/05/24,تهرانپارس خ 188 غربی,116,4,20,95680000,11100000000
,10269338,1403/05/24,جشنواره پشت فرهنگسرا,80,3,15,62500000,5000000000
,10415947,1403/05/24,پیروزی خ نبرد شمالی,52,همكف,21,81730000,4250000000
,10415945,1403/05/24,وحیدیه خ نبیئیان,53,3,22,60000000,3180000000
,3970904,1403/05/24,تهرانپارس میدان پروین بین 133و 135,97,5,3,85000000,8245000000
,10264107,1403/05/24,ونك خ برزیل,160,4,4,206250000,33000000000
,10415941,1403/05/24,پیروزی خ نبرد شمالی,47,1,2,85106000,4000000000
,10181693,1403/05/24,ونك ده ونك خ شرافتی خ رجبی,60,1,24,66666000,4000000000
,10354308,1403/05/24,بلوار فردوس غرب بهار شمالی,83,1,21,95180000,7900000000
,10415940,1403/05/24,تهران نو خ بلال حبشی,81,4,3,101234000,8200000000
,10164608,1403/05/24,سئول شهرك سئول,255,8,1,254901000,65000000000
,10415939,1403/05/24,تهران نو خ خاقانی,87,5,11,91954000,8000000000
,10415938,1403/05/24,نیروی هوایی خ نهم,69,همكف,20,81000000,5589000000
,10415937,1403/05/24,پیروزی خ دومانلو,65,3,13,76923000,5000000000
,10415935,1403/05/24,كارگر شمالی نرسیده به پمپ بنزین,60,3,7,130000000,7800000000
,10219306,1403/05/24,گیشا خ فاضل شمالی,103,4,22,126213000,13000000000
,10415933,1403/05/24,سبلان جنوبی خ امیر كیایی,88,1,8,65340000,5750000000
,10264127,1403/05/24,كرستان بلوارآزادگان,75,همكف,23,110000000,8250000000
,10415932,1403/05/24,تهرانپارس 218 شرقی,65,4,20,58460000,3800000000
,10415926,1403/05/24,فرجام غربی خ عبادی خ ساجدی,118,1,12,88980000,10500000000
,10299220,1403/05/24,سبلان شمالی نرسیده به ك طاهری,63,4,25,63492000,4000000000
,10415925,1403/05/24,تهرانپارس خ 180غربی,190,2,16,110000000,20900000000
,10415924,1403/05/24,سبلان شمالی خ حیدری,47,3,12,61700000,2900000000
,10296648,1403/05/24,سبلان شمالی نرسیده به ك موسوی,113,3,12,66370000,7500000000
,10298073,1403/05/24,سبلان شمالی نرسیده به خ فتاحی,72,4,4,86800000,6250000000
,10299033,1403/05/24,سبلان شمالی خ حسنی,50,5,7,69000000,3450000000
,3841884,1403/05/24,وحیدیه ایستگاه وحیدیه خ ارمغانی,52,3,18,64420000,3350000000
,10415918,1403/05/24,شمس اباد خ شهید كرد,57,2,30,76310000,4350000000
,10301593,1403/05/24,فرجام غربی خ آبگون,97,4,23,87620000,8500000000
,10301590,1403/05/24,بزرگراه رسالت كرمان,78,4,21,73800000,5757000000
,10415915,1403/05/24,نبرد جنوبی خ مسلم شمالی,125,2,7,96000000,12000000000
,10415914,1403/05/24,مجیدیه شمالی خ شاه مرادی,74,4,9,108100000,8000000000
,10415913,1403/05/24,پیروزی خ داوود ابادی,140,4,3,85714000,12000000000
,10273216,1403/05/24,نبردجنوبی خ گلستان,103,2,3,85922000,8850000000
,10335358,1403/05/24,دبستان نرسیده به ك حمیدی,95,3,30,96842000,9200000000
,10178547,1403/05/24,فرجام غربی خ برادران باقری,60,4,16,81660000,4900000000
,10274593,1403/05/24,یوسف آباد خ ابن سینا,164,5,22,140000000,22960000000
,10272027,1403/05/24,یوسف آباد خ ابن سینا,90,3,1,206666000,18600000000
,10299509,1403/05/24,مجیدیه جنوبی خ حاجی پور,63,4,10,105550000,6650000000
